"Service","VPC($)","EC2-Other($)","Tax($)","EC2-Instances($)","Route 53($)","Relational Database Service($)","Elastic Container Service($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","Elastic Load Balancing($)","Key Management Service($)","CloudWatch($)","Service Catalog($)","Total costs($)"
"Service total","27.906500581","16.3112567763","12.37","7.5623356464","1.5077324","0.295962454","0.1194582619","0.0321596227","0.0033333336","0.0013159331","0","0","0","66.110055009"
"2025-04-01","0","1.152","12.37","0","0.5004764","0.0172141113","","","","","","","","14.0396905113"
"2025-04-02","1.5326001004","1.4400003169","","0","0.0006096","0.0502149771","0.0226244877","0","0","0","0","","","3.0460494821"
"2025-04-03","2.4621496083","1.9680004601","","0","0.0007468","0.0846666672","0.0968337742","0","0","0.0000005784","0","0","","4.6123978882"
"2025-04-04","0.24","","","","0.5004736","0.0846666672","","","","","","0","","0.8251402672"
"2025-04-05","0.25921528","0.3840140537","","0","0.0005608","0.0592000312","0","0","0","0.0000127986","0","0","","0.7030029635"
"2025-04-06","0.36","1.1520001892","","0","0.5004624","0","0","0","0","0.0000847759","","0","","2.0125473651"
"2025-04-07","0.866","1.1520001453","","0","0.0004256","0","0","0","0","0.000103036","","0","","2.0185287813"
"2025-04-08","2.4720172614","1.1520001683","","0","0.0004596","0","0","0","0","0.0000796493","","0","","3.624556679"
"2025-04-09","2.3518182505","1.1534119833","","0.1712723232","0.0003868","0","0","0","0","0.0000636534","0","0","0","3.6769530104"
"2025-04-10","2.380270572","1.1559316408","","0.5296756692","0.0002848","0","0","0","0","0.0000217888","0","0","","4.0661844708"
"2025-04-11","2.352","1.1520004946","","0.5472","0.0002672","0","0","0","0","0.0000380574","","0","","4.051505752"
"2025-04-12","2.352","1.1520006109","","0.5472","0.0002672","0","0","0","0","0.000035652","","0","","4.0515034629"
"2025-04-13","2.353698615","1.1520005195","","0.5472","0.0002496","0","0","0","0","0.0000223664","","0","","4.0531711009"
"2025-04-14","2.3520003284","1.1520005509","","0.5472","0.0002692","0","0","0","0","0.0000282958","","0","","4.0514983751"
"2025-04-15","1.88258611","0.8647960858","","0.4200583308","0.0002308","0","0","0","0","0.0000252414","","0","0","3.167696568"
"2025-04-16","0.188866675","0.0000003779","","0.2627256768","0.0002056","0","0","0","0","0.0000498743","0","0","","0.451848204"
"2025-04-17","0.48","0.0000004724","","0.5472","0.0001512","0","0","0.0018321599","0","0.0000654163","","0","","1.0292492486"
"2025-04-18","0.48","0.0000005998","","0.5472","0.0001928","0","0","0.0046725504","0","0.0000920739","","0","","1.0321580241"
"2025-04-19","0.48","0.0000004854","","0.5472","0.0001936","0","0","0.0046725504","0","0.0000887768","","0","","1.0321554126"
"2025-04-20","0.48","0.0000004725","","0.5472","0.0001964","0","0","0.0046725504","0","0.0001107472","","0","","1.0321801701"
"2025-04-21","0.48","0.0000004724","","0.5470036464","0.0001832","0","0","0.0046725504","0","0.0001610071","","0","","1.0320208763"
"2025-04-22","0.48","0.0337627314","","0.5472","0.0001948","0","0","0.0046725504","0","0.0001126424","","0","","1.0659427242"
"2025-04-23","0.48127778","0.0880004718","","0.5472","0.0001912","0","0","0.0052390372","0","0.0001066897","","0","","1.1220151787"
"2025-04-24","0.14","0.0073334734","","0.1596","0.0000532","0","0","0.0017256736","0.0033333336","0.000012812","","0","","0.3120584926"